ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46576373	46578640	46576373	46576449	46578579	46578640	0	11,12,11,10	2,0,1,3	6,5,9,11	4,6,4,6	298	149	0.000476411852686	0.0600898645908	0.733,1.0,0.846,0.625	0.429,0.294,0.529,0.478	0.369
1	"ENSMUSG00000031896"	"Ctrl"	chr8	-	106659455	106659691	106659455	106659537	106659611	106659691	1	0,0,3,0	0,1,2,1	1,0,0,0	0,0,2,0	222	149	1	1.0	NA,0.0,0.502,0.0	1.0,NA,0.0,NA	-0.333
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519002	43519078	2	12,4,4,11	241,182,207,164	2,2,2,8	137,88,147,285	298	149	0.0474948803121	0.583550462959	0.024,0.011,0.01,0.032	0.007,0.011,0.007,0.014	0.01
7	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120602528	120602721	120602528	120602582	120602669	120602721	7	10,3,3,13	102,68,79,60	4,3,14,6	63,39,65,103	235	149	0.868262815241	1.0	0.059,0.027,0.024,0.121	0.039,0.047,0.12,0.036	-0.003
8	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	57008022	57009890	57008022	57008088	57009762	57009890	8	5,3,2,3	3,1,0,4	8,1,6,4	8,0,3,5	298	149	0.633528390236	1.0	0.455,0.6,1.0,0.273	0.333,1.0,0.5,0.286	0.052
14	"ENSMUSG00000021670"	"Hmgcr"	chr13	-	96801269	96802405	96801269	96801354	96802317	96802405	14	0,0,1,0	20,12,18,16	0,0,0,0	12,5,19,25	298	149	1	1.0	0.0,0.0,0.027,0.0	0.0,0.0,0.0,0.0	0.007
15	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48400000	48402238	48400000	48401288	48402147	48402238	15	1,0,1,3	142,87,123,106	0,0,4,3	90,50,75,159	298	149	1	1.0	0.004,0.0,0.004,0.014	0.0,0.0,0.026,0.009	-0.003
17	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127162421	127162883	127162421	127162520	127162741	127162883	17	1,0,0,0	5,1,0,0	0,0,0,0	0,1,0,1	298	149	1	1.0	0.091,0.0,NA,NA	NA,0.0,NA,0.0	0.045
18	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127163962	127164393	127163962	127164016	127164258	127164393	18	7,7,0,5	34,14,23,20	0,1,0,0	8,7,24,16	298	149	1.022374758e-05	0.0100703913663	0.093,0.2,0.0,0.111	0.0,0.067,0.0,0.0	0.084
19	"ENSMUSG00000121485"	NA	chr13	-	12632143	12632388	12632143	12632152	12632251	12632388	19	5,4,10,6	1,2,0,3	1,2,4,5	0,0,0,1	247	149	0.00610186460031	0.212129528164	0.751,0.547,1.0,0.547	1.0,1.0,1.0,0.751	-0.226
20	"ENSMUSG00000121485"	NA	chr13	-	12636246	12636396	12636246	12636297	12636378	12636396	20	82,78,76,83	3,1,2,1	67,39,51,98	0,2,0,0	229	149	0.293661428362	1.0	0.947,0.981,0.961,0.982	1.0,0.927,1.0,1.0	-0.014
26	"ENSMUSG00000031985"	"Gnpat"	chr8	+	125613421	125613685	125613421	125613518	125613591	125613685	26	113,92,79,97	1173,1045,1057,1004	103,39,88,156	860,531,911,1517	221	149	0.275824489046	1.0	0.061,0.056,0.048,0.061	0.075,0.047,0.061,0.065	-0.006
27	"ENSMUSG00000030795"	"Fus"	chr7	+	127571725	127575092	127571725	127571942	127575059	127575092	27	177,138,144,145	8,6,11,4	110,77,146,242	5,9,10,17	298	149	0.110257020703	0.859655662737	0.917,0.92,0.867,0.948	0.917,0.811,0.88,0.877	0.042
28	"ENSMUSG00000022617"	"Chkb"	chr15	-	89312336	89313030	89312336	89312432	89312613	89313030	28	3,10,10,7	378,325,382,339	7,2,4,8	301,164,339,502	298	149	0.885344733567	1.0	0.004,0.015,0.013,0.01	0.011,0.006,0.006,0.008	0.003
29	"ENSMUSG00000022617"	"Chkb"	chr15	-	89312336	89313030	89312336	89312432	89312916	89313030	29	24,27,23,17	2,0,0,0	15,7,22,22	2,0,2,0	298	149	1	1.0	0.857,1.0,1.0,1.0	0.789,1.0,0.846,1.0	0.055
30	"ENSMUSG00000022617"	"Chkb"	chr15	-	89312613	89313030	89312613	89312747	89312916	89313030	30	26,21,17,19	125,104,102,98	15,6,22,20	68,54,106,118	298	149	0.707435505108	1.0	0.094,0.092,0.077,0.088	0.099,0.053,0.094,0.078	0.007
