ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118395975	118396047	118396026	118396047	118389809	118389940	0	2,0,7,18	0,0,0,0	10,12,5,11	0,1,0,0	199	149	1	1.0	1.0,NA,1.0,1.0	1.0,0.9,1.0,1.0	0.025
1	"ENSMUSG00000038708"	"Golga4"	chr9	+	118395975	118396047	118396026	118396047	118394624	118394735	1	15,8,16,34	709,427,803,1222	30,50,14,23	728,1870,439,447	199	149	0.0123661773877	0.312740880448	0.016,0.014,0.015,0.02	0.03,0.02,0.023,0.037	-0.011
2	"ENSMUSG00000051705"	"Senp8"	chr9	-	59647222	59647334	59647222	59647315	59657544	59657654	2	0,0,0,0	2,0,1,2	0,3,0,1	2,1,0,0	167	149	1	1.0	0.0,NA,0.0,0.0	0.0,0.728,NA,1.0	-0.576
3	"ENSMUSG00000038534"	"Osbpl7"	chr11	+	96943311	96943437	96943352	96943437	96943050	96943202	3	7,5,8,13	0,0,0,1	9,17,7,6	0,2,0,0	189	149	1	1.0	1.0,1.0,1.0,0.911	1.0,0.87,1.0,1.0	0.01
6	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43514710	43516003	43514710	43514861	43518229	43518299	6	16,6,19,27	156,126,186,357	18,35,8,4	163,474,123,137	298	149	0.491769107199	1.0	0.049,0.023,0.049,0.036	0.052,0.036,0.031,0.014	0.006
7	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519226	43519297	7	135,95,151,263	0,0,0,0	120,489,119,109	0,2,0,0	298	149	1	1.0	1.0,1.0,1.0,1.0	1.0,0.992,1.0,1.0	0.002
8	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120603265	120603538	120603265	120603365	120604518	120604558	8	10,5,8,12	0,0,0,0	14,39,4,7	0,4,0,0	298	149	0.76923974174	1.0	1.0,1.0,1.0,1.0	1.0,0.83,1.0,1.0	0.042
9	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120602528	120602721	120602528	120602582	120604518	120604564	9	22,16,30,40	18,14,20,29	23,126,27,28	25,64,20,17	287	149	0.564130742989	1.0	0.388,0.372,0.438,0.417	0.323,0.505,0.412,0.461	-0.022
10	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	57008022	57009890	57009762	57009890	57003717	57003789	10	113,56,105,143	2,1,2,3	108,328,71,103	1,8,3,0	298	149	1	1.0	0.966,0.966,0.963,0.96	0.982,0.953,0.922,1.0	-0.001
11	"ENSMUSG00000022838"	"Eaf2"	chr16	-	36620948	36621206	36620948	36621064	36628376	36628522	11	3,7,8,8	0,0,4,3	5,6,4,6	2,1,0,0	290	149	0.00312645247073	0.158206423749	1.0,1.0,0.507,0.578	0.562,0.755,1.0,1.0	-0.058
15	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144645799	144646074	144645954	144646074	144645220	144645364	15	5,7,6,21	143,75,217,284	19,47,9,9	206,520,119,171	298	149	0.0322876887357	0.481165312622	0.017,0.045,0.014,0.036	0.044,0.043,0.036,0.026	-0.009
16	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75561092	75561238	75561092	75561219	75561382	75561589	16	24,23,26,42	5,2,3,2	44,90,12,37	5,1,3,1	167	149	0.208565785301	1.0	0.811,0.911,0.885,0.949	0.887,0.988,0.781,0.971	-0.018
17	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75561382	75561589	75561382	75561515	75562691	75562853	17	42,20,29,42	4,0,2,3	50,72,11,22	0,1,0,0	222	149	0.00205127793422	0.139258979756	0.876,1.0,0.907,0.904	1.0,0.98,1.0,1.0	-0.073
18	"ENSMUSG00000048416"	"Mlf1"	chr3	+	67300172	67300308	67300224	67300308	67291883	67292031	18	4,3,13,5	65,46,60,122	22,46,12,23	97,295,84,74	200	149	0.000243480905983	0.0451411298511	0.044,0.046,0.139,0.03	0.145,0.104,0.096,0.188	-0.068
19	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48400000	48402238	48400000	48401288	48404706	48404794	19	113,52,106,196	3,0,7,8	123,300,72,72	0,6,0,7	298	149	0.167030335079	1.0	0.95,1.0,0.883,0.925	1.0,0.962,1.0,0.837	-0.01
20	"ENSMUSG00000121485"	NA	chr13	-	12634654	12634783	12634654	12634779	12636246	12636396	20	29,18,23,47	0,2,4,6	31,84,23,22	2,4,1,1	152	149	0.138622818865	0.97884216282	1.0,0.898,0.849,0.885	0.938,0.954,0.958,0.956	-0.043
22	"ENSMUSG00000079334"	"Naa80"	chr9	+	107460015	107460718	107460334	107460718	107456298	107458134	22	53,37,36,90	0,0,0,0	49,118,22,44	1,1,0,0	298	149	1	1.0	1.0,1.0,1.0,1.0	0.961,0.983,1.0,1.0	0.014
23	"ENSMUSG00000059743"	"Fdps"	chr3	-	89001758	89001884	89001758	89001836	89002166	89002239	23	0,1,0,0	70,82,100,168	0,3,0,2	92,293,55,86	196	149	1	1.0	0.0,0.009,0.0,0.0	0.0,0.008,0.0,0.017	-0.004
26	"ENSMUSG00000065999"	"Zfp985"	chr4	+	147661481	147661586	147661528	147661586	147647371	147647415	26	2,5,3,2	1,3,1,1	0,6,1,1	2,6,2,1	195	149	0.0292270177482	0.463337024484	0.604,0.56,0.696,0.604	0.0,0.433,0.276,0.433	0.33
27	"ENSMUSG00000030795"	"Fus"	chr7	+	127571009	127571154	127571012	127571154	127568888	127569043	27	515,347,561,1050	227,130,287,459	582,1840,376,435	305,836,169,225	151	149	0.313595258108	1.0	0.691,0.725,0.659,0.693	0.653,0.685,0.687,0.656	0.022
28	"ENSMUSG00000022617"	"Chkb"	chr15	-	89311526	89311630	89311526	89311602	89311763	89311872	28	331,202,379,615	47,29,42,67	241,794,170,185	35,116,16,24	176	149	0.49723227788	1.0	0.856,0.855,0.884,0.886	0.854,0.853,0.9,0.867	0.002
29	"ENSMUSG00000022617"	"Chkb"	chr15	-	89312336	89312432	89312336	89312396	89312613	89312747	29	387,220,442,692	0,0,0,1	315,1138,201,203	0,2,0,2	184	149	1	1.0	1.0,1.0,1.0,0.998	1.0,0.998,1.0,0.988	0.003
