ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038174"	"Hycc2"	chr1	-	58604926	58605113	58605015	58605113	58597135	58597216	0	6,1,0,1	18,11,18,8	0,0,1,1	9,4,15,14	237	149	1	1.0	0.173,0.054,0.0,0.073	0.0,0.0,0.04,0.043	0.054
1	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	74920602	74920662	74920633	74920662	74919201	74919318	1	0,3,0,0	5,10,4,5	0,0,0,0	4,2,2,12	179	149	1	1.0	0.0,0.2,0.0,0.0	0.0,0.0,0.0,0.0	0.05
2	"ENSMUSG00000079018"	"Ly6c1"	chr15	-	74920602	74920662	74920633	74920662	74920290	74920388	2	0,1,2,1	37,35,33,41	0,1,0,1	24,16,28,36	179	149	1	1.0	0.0,0.023,0.048,0.02	0.0,0.049,0.0,0.023	0.005
3	"ENSMUSG00000022940"	"Pigp"	chr16	-	94171599	94171874	94171753	94171874	94170947	94171051	3	12,4,15,7	2,0,4,3	3,0,6,7	2,6,1,0	298	149	0.291168525355	1.0	0.75,1.0,0.652,0.538	0.429,0.0,0.75,1.0	0.19
4	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100949805	100950014	100949972	100950014	100949155	100949313	4	160,127,108,147	1,0,0,2	126,84,127,213	0,0,0,0	298	149	1	1.0	0.988,1.0,1.0,0.974	1.0,1.0,1.0,1.0	-0.01
5	"ENSMUSG00000052934"	"Fbxo31"	chr8	-	122282858	122283090	122282980	122283090	122281944	122282098	5	3,6,5,0	342,267,283,250	1,4,0,9	193,143,254,290	270	149	1	1.0	0.005,0.012,0.01,0.0	0.003,0.015,0.0,0.017	-0.002
10	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75549286	75549465	75549373	75549465	75535746	75535929	10	33,38,27,29	2,4,7,1	53,31,37,46	8,3,1,5	235	149	0.950565953411	1.0	0.913,0.858,0.71,0.948	0.808,0.868,0.959,0.854	-0.015
11	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38194180	38194739	38194180	38194598	38198016	38198578	11	1627,1553,1394,1286	251,188,141,159	1242,763,1222,1979	126,102,159,96	289	149	0.0188319633275	0.428170366201	0.77,0.81,0.836,0.807	0.836,0.794,0.798,0.914	-0.03
13	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127164746	127164884	127164746	127164852	127165367	127165812	13	1,4,1,4	36,14,29,34	1,4,2,2	16,10,22,28	180	149	0.725300551224	1.0	0.022,0.191,0.028,0.089	0.049,0.249,0.07,0.056	-0.024
17	"ENSMUSG00000031985"	"Gnpat"	chr8	+	125600071	125600248	125600071	125600218	125600957	125601087	17	634,599,609,620	29,18,22,15	502,318,514,830	17,6,11,28	178	149	0.297273348992	1.0	0.948,0.965,0.959,0.972	0.961,0.978,0.975,0.961	-0.008
18	"ENSMUSG00000031985"	"Gnpat"	chr8	+	125613421	125613685	125613421	125613518	125614496	125614558	18	1322,1139,1280,1232	0,3,0,3	1115,640,1031,1849	1,1,5,1	298	149	1	1.0	1.0,0.995,1.0,0.995	0.998,0.997,0.99,0.999	0.001
19	"ENSMUSG00000014195"	"Dnajc7"	chr11	-	100480500	100480604	100480504	100480604	100475807	100475881	19	0,1,0,0	29,23,23,34	0,1,1,2	26,15,26,50	152	149	0.685633040296	1.0	0.0,0.041,0.0,0.0	0.0,0.061,0.036,0.038	-0.024
20	"ENSMUSG00000014195"	"Dnajc7"	chr11	-	100490010	100490135	100490032	100490135	100489440	100489554	20	449,384,400,343	0,0,1,0	271,226,381,585	0,0,0,0	170	149	1	1.0	1.0,1.0,0.997,1.0	1.0,1.0,1.0,1.0	-0.001
22	"ENSMUSG00000022617"	"Chkb"	chr15	-	89312613	89313030	89312916	89313030	89312336	89312432	22	399,342,395,349	2,0,0,0	309,169,357,516	2,0,2,0	298	149	1	1.0	0.99,1.0,1.0,1.0	0.987,1.0,0.989,1.0	0.004
25	"ENSMUSG00000019539"	"Rcn3"	chr7	-	44741519	44741645	44741528	44741645	44740864	44741112	25	38,29,28,23	11,10,14,21	27,12,18,39	8,7,11,24	157	149	0.788636706379	1.0	0.766,0.733,0.655,0.51	0.762,0.619,0.608,0.607	0.017
26	"ENSMUSG00000020486"	"Septin4"	chr11	+	87479543	87479911	87479543	87479678	87480000	87480102	26	258,203,188,244	24,11,13,10	160,115,165,309	10,14,3,15	298	149	0.526916812283	1.0	0.843,0.902,0.879,0.924	0.889,0.804,0.965,0.912	-0.005
28	"ENSMUSG00000008690"	"Ncaph2"	chr15	+	89254597	89254878	89254597	89254691	89254955	89255011	28	321,301,284,259	0,0,0,1	201,151,219,322	0,0,0,0	298	149	1	1.0	1.0,1.0,1.0,0.992	1.0,1.0,1.0,1.0	-0.002
29	"ENSMUSG00000025007"	"Aldh18a1"	chr19	-	40562654	40562813	40562660	40562813	40562214	40562305	29	34,16,18,18	6,4,0,1	13,10,14,15	0,0,3,1	154	149	0.0115409316826	0.339467312699	0.846,0.795,1.0,0.946	1.0,1.0,0.819,0.936	-0.042
32	"ENSMUSG00000001524"	"Gtf2h4"	chr17	-	35982117	35982249	35982121	35982249	35981757	35981854	32	89,45,70,39	2,4,3,2	41,37,47,62	4,3,0,1	152	149	0.650132452052	1.0	0.978,0.917,0.958,0.95	0.909,0.924,1.0,0.984	-0.004
34	"ENSMUSG00000027610"	"Gss"	chr2	-	155409612	155409807	155409702	155409807	155408722	155408804	34	84,46,52,54	0,4,0,0	40,37,38,54	0,1,0,2	238	149	1	1.0	1.0,0.878,1.0,1.0	1.0,0.959,1.0,0.944	-0.006
35	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22926508	22926630	22926508	22926570	22927337	22927383	35	0,1,1,2	394,273,329,295	2,3,1,4	224,146,282,413	208	149	1	1.0	0.0,0.003,0.002,0.005	0.006,0.015,0.003,0.007	-0.005
36	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22927337	22927601	22927337	22927383	22928734	22928903	36	60,41,48,53	0,0,0,1	30,25,50,81	0,0,0,0	298	149	1	1.0	1.0,1.0,1.0,0.964	1.0,1.0,1.0,1.0	-0.009
37	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22929329	22930013	22929329	22929473	22930252	22930342	37	2735,2122,2106,2388	3,0,0,0	1646,1106,1972,3353	1,0,0,4	298	149	1	1.0	0.998,1.0,1.0,1.0	0.999,1.0,1.0,0.998	0.0
38	"ENSMUSG00000041890"	"Git2"	chr5	-	114881791	114881941	114881836	114881941	114877093	114877342	38	73,64,69,72	5,8,2,2	42,45,50,81	0,0,2,5	193	149	0.03635209709	0.575421486216	0.919,0.861,0.964,0.965	1.0,1.0,0.951,0.926	-0.042
39	"ENSMUSG00000022510"	"Trp63"	chr16	+	25684824	25684961	25684824	25684949	25686916	25686999	39	4,2,2,1	1,2,1,2	1,0,2,1	2,3,2,1	160	149	0.0125609121046	0.352603109457	0.788,0.482,0.651,0.318	0.318,0.0,0.482,0.482	0.239
40	"ENSMUSG00000035845"	"Alg12"	chr15	-	88698631	88698851	88698656	88698851	88690760	88690924	40	1,1,1,0	3,1,0,1	0,0,0,0	1,0,0,0	173	149	1	1.0	0.223,0.463,1.0,0.0	0.0,NA,NA,NA	0.421
42	"ENSMUSG00000054770"	"Kctd18"	chr1	-	58004487	58004699	58004509	58004699	58002226	58002420	42	16,11,8,6	3,0,0,4	2,3,8,14	1,0,1,1	170	149	0.0412470272452	0.589683951788	0.824,1.0,1.0,0.568	0.637,1.0,0.875,0.925	-0.011
43	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44197303	44197495	44197303	44197419	44197964	44198051	43	11,4,7,2	79,60,62,86	2,3,2,15	47,30,65,94	224	149	0.844165504495	1.0	0.085,0.042,0.07,0.015	0.028,0.062,0.02,0.096	0.002
44	"ENSMUSG00000026048"	"Ercc5"	chr1	+	44200136	44200269	44200136	44200197	44200969	44201113	44	8,1,3,4	66,46,31,45	3,1,1,11	47,26,43,81	220	149	0.663880335705	1.0	0.076,0.015,0.062,0.057	0.041,0.025,0.016,0.084	0.011
45	"ENSMUSG00000002885"	"Adgre5"	chr8	-	84460924	84460981	84460930	84460981	84460637	84460754	45	149,116,108,100	14,12,9,14	75,67,101,127	9,9,13,16	154	149	0.396380834371	1.0	0.911,0.903,0.921,0.874	0.89,0.878,0.883,0.885	0.018
46	"ENSMUSG00000042328"	"Hps4"	chr5	+	112490960	112491029	112490960	112490988	112492406	112492914	46	0,0,0,0	1,0,1,1	1,0,0,0	0,0,0,0	189	149	1	1.0	0.0,NA,0.0,0.0	1.0,NA,NA,NA	-1.0
48	"ENSMUSG00000052395"	"Rft1"	chr14	+	30398806	30398864	30398806	30398857	30399643	30399774	48	12,14,9,8	41,33,23,48	4,6,6,13	21,26,21,57	155	149	0.346054600654	1.0	0.22,0.29,0.273,0.138	0.155,0.182,0.215,0.18	0.047
49	"ENSMUSG00000032580"	"Rbm5"	chr9	-	107647750	107648158	107648083	107648158	107646759	107646825	49	1,0,0,4	154,103,91,106	1,1,0,0	71,62,86,138	298	149	1	1.0	0.003,0.0,0.0,0.019	0.007,0.008,0.0,0.0	0.002
50	"ENSMUSG00000079197"	"Psme2"	chr14	-	55825110	55825551	55825496	55825551	55824903	55825022	50	533,424,394,433	1,0,0,0	326,229,370,563	0,0,0,0	298	149	1	1.0	0.996,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.001
51	"ENSMUSG00000036281"	"Snapc4"	chr2	-	26262742	26262837	26262770	26262837	26260844	26260892	51	28,9,8,10	8,5,11,12	7,6,12,21	6,7,13,25	176	149	0.207278499976	1.0	0.748,0.604,0.381,0.414	0.497,0.421,0.439,0.416	0.093
