ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118348153	118348252	118351585	118351651	118343247	118343337	118356077	118356389	0	322,237,265,215	426,349,314,275	198,542,160,200	307,842,181,229	247	214	0.742875599082	1.0	0.396,0.37,0.422,0.404	0.358,0.358,0.434,0.431	0.003
1	"ENSMUSG00000038708"	"Golga4"	chr9	+	118394624	118394735	118396026	118396047	118389809	118389940	118396248	118396317	1	1242,1129,1095,997	171,171,173,179	924,2498,633,628	164,377,82,125	259	169	0.668939399007	1.0	0.826,0.812,0.805,0.784	0.786,0.812,0.834,0.766	0.007
2	"ENSMUSG00000038708"	"Golga4"	chr9	+	118395975	118396047	118396248	118396317	118394624	118394735	118398031	118398107	2	14,18,4,8	366,345,350,269	9,25,7,5	274,768,153,192	220	217	0.844416141597	1.0	0.036,0.049,0.011,0.028	0.031,0.031,0.043,0.025	-0.002
3	"ENSMUSG00000038708"	"Golga4"	chr9	+	118396026	118396047	118396248	118396317	118394343	118394735	118398031	118398107	3	166,146,139,111	366,345,350,269	102,305,44,61	274,768,153,192	169	217	0.102963712519	0.6701259537	0.368,0.352,0.338,0.346	0.323,0.338,0.27,0.29	0.046
4	"ENSMUSG00000038708"	"Golga4"	chr9	+	118401985	118402089	118406209	118406296	118398031	118398107	118410916	118411185	4	501,439,536,396	659,586,572,557	429,1049,207,293	479,1327,267,316	252	235	0.412903698836	1.0	0.415,0.411,0.466,0.399	0.455,0.424,0.42,0.464	-0.018
5	"ENSMUSG00000022940"	"Pigp"	chr16	-	94166213	94166332	94168419	94168492	94165305	94165646	94170947	94171051	5	288,225,246,229	1175,971,1030,965	204,613,154,188	965,2696,672,753	221	267	0.636704454372	1.0	0.228,0.219,0.224,0.223	0.203,0.216,0.217,0.232	0.007
6	"ENSMUSG00000079362"	"Gm43302"	chr5	-	105436792	105436920	105438702	105438892	105428320	105428430	105441491	105441561	6	130,43,50,64	86,47,59,58	54,95,42,50	71,122,29,52	298	276	0.316401174518	0.932279072696	0.583,0.459,0.44,0.505	0.413,0.419,0.573,0.471	0.028
7	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100957626	100957714	100961423	100961509	100954633	100954721	100962959	100963026	7	44,23,30,27	93,77,62,50	20,36,5,16	31,132,36,40	234	236	0.231066990184	0.859280476436	0.323,0.232,0.328,0.353	0.394,0.216,0.123,0.287	0.054
8	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100961423	100961509	100962959	100963026	100957626	100957714	100965407	100965530	8	13,11,6,5	56,39,49,57	12,7,4,5	28,86,11,34	215	234	0.838583436313	1.0	0.202,0.235,0.118,0.087	0.318,0.081,0.284,0.138	-0.045
9	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100962959	100963026	100965407	100965530	100957626	100957714	100969608	100969848	9	6,1,0,1	0,0,0,0	5,6,0,1	0,5,0,0	271	215	1	1.0	1.0,1.0,NA,1.0	1.0,0.488,NA,1.0	0.171
