ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118343247	118343337	118351585	118351651	118335334	118335625	118356077	118356389	0	7,85,82,39	38,207,259,189	57,205,69,84	276,758,156,204	238	214	0.671788805208	1.0	0.142,0.27,0.222,0.157	0.157,0.196,0.285,0.27	-0.029
1	"ENSMUSG00000038708"	"Golga4"	chr9	+	118348153	118348252	118351585	118351651	118343247	118343337	118356077	118356389	1	52,155,182,155	42,241,298,225	198,542,160,200	307,842,181,229	247	214	0.893686855505	1.0	0.518,0.358,0.346,0.374	0.358,0.358,0.434,0.431	0.004
2	"ENSMUSG00000038708"	"Golga4"	chr9	+	118394624	118394735	118396026	118396047	118389809	118389940	118396248	118396317	2	393,758,857,650	83,102,151,117	924,2498,633,628	164,377,82,125	259	169	0.577542337328	1.0	0.755,0.829,0.787,0.784	0.786,0.812,0.834,0.766	-0.011
3	"ENSMUSG00000038708"	"Golga4"	chr9	+	118395975	118396047	118396248	118396317	118394624	118394735	118398031	118398107	3	12,1,6,7	112,274,275,244	9,25,7,5	274,768,153,192	220	217	0.474170320344	1.0	0.096,0.004,0.021,0.028	0.031,0.031,0.043,0.025	0.005
4	"ENSMUSG00000038708"	"Golga4"	chr9	+	118396026	118396047	118396248	118396317	118394343	118394735	118398031	118398107	4	42,98,102,71	112,274,275,244	102,305,44,61	274,768,153,192	169	217	0.781395947991	1.0	0.325,0.315,0.323,0.272	0.323,0.338,0.27,0.29	0.004
5	"ENSMUSG00000038708"	"Golga4"	chr9	+	118401985	118402089	118406209	118406296	118398031	118398107	118410916	118411185	5	203,353,375,344	240,483,478,302	429,1049,207,293	479,1327,267,316	252	235	0.848482867268	1.0	0.441,0.405,0.422,0.515	0.455,0.424,0.42,0.464	0.005
6	"ENSMUSG00000022940"	"Pigp"	chr16	-	94166213	94166332	94168419	94168492	94165305	94165646	94170947	94171051	6	109,191,198,171	536,683,950,969	204,613,154,188	965,2696,672,753	221	267	0.465392508438	1.0	0.197,0.253,0.201,0.176	0.203,0.216,0.217,0.232	-0.01
7	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100957626	100957714	100961423	100961509	100954633	100954721	100962959	100963026	7	13,7,13,16	20,42,47,49	20,36,5,16	31,132,36,40	234	236	0.821963205638	1.0	0.396,0.144,0.218,0.248	0.394,0.216,0.123,0.287	-0.004
8	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100961423	100961509	100962959	100963026	100957626	100957714	100965407	100965530	8	0,4,7,9	11,21,36,36	12,7,4,5	28,86,11,34	215	234	0.821598957348	1.0	0.0,0.172,0.175,0.214	0.318,0.081,0.284,0.138	-0.065
9	"ENSMUSG00000060275"	"Nrg2"	chr18	-	36164935	36164994	36165388	36165465	36157358	36157461	36171283	36171404	9	3,5,3,5	2,3,7,6	4,22,5,4	3,10,0,5	225	207	0.143166353309	0.873131791417	0.58,0.605,0.283,0.434	0.551,0.669,1.0,0.424	-0.186
10	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43519002	43519078	43518401	43518464	43519226	43519297	10	182,208,183,101	10,20,24,20	182,759,172,193	25,43,16,10	224	224	0.0400759971291	0.597032935268	0.948,0.912,0.884,0.835	0.879,0.946,0.915,0.951	-0.028
11	"ENSMUSG00000040283"	"Btnl9"	chr11	-	49064279	49064300	49065652	49065685	49064038	49064065	49066394	49066523	11	8,30,43,33	0,3,3,4	23,109,24,18	2,27,4,7	181	169	0.00349750377069	0.187544017237	1.0,0.903,0.93,0.885	0.915,0.79,0.849,0.706	0.114
12	"ENSMUSG00000053101"	"Gpr141"	chr13	-	19963624	19963731	19989159	19989227	19939179	19939373	20008299	20008427	12	0,0,0,1	0,0,0,0	0,0,0,0	0,0,0,2	216	255	1	1.0	NA,NA,NA,1.0	NA,NA,NA,0.0	1.0
13	"ENSMUSG00000078867"	"Gm14418"	chr2	-	177081614	177081651	177086489	177086544	177081219	177081346	177090016	177090098	13	4,2,6,5	0,0,0,0	13,24,2,7	0,2,0,0	203	185	1	1.0	1.0,1.0,1.0,1.0	1.0,0.916,1.0,1.0	0.021
14	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144645799	144646074	144646410	144646649	144645220	144645364	144650475	144650601	14	9,7,3,9	158,300,213,121	8,26,5,8	209,617,173,214	298	298	0.641638161895	1.0	0.054,0.023,0.014,0.069	0.037,0.04,0.028,0.036	0.005
15	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144645954	144646074	144646410	144646649	144645220	144645364	144650475	144650601	15	128,246,192,122	158,300,213,121	182,484,103,146	209,617,173,214	268	298	0.101765633585	0.808315047405	0.474,0.477,0.501,0.529	0.492,0.466,0.398,0.431	0.048
16	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144646410	144646649	144650475	144650601	144645799	144646074	144653704	144654209	16	125,208,208,116	194,390,342,282	207,481,117,155	388,878,199,237	298	274	0.593509428876	1.0	0.372,0.329,0.359,0.274	0.329,0.335,0.351,0.376	-0.014
