ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46576373	46578640	46576373	46576449	46578579	46578640	0	11,12,11,10	2,0,1,3	9,23,5,6	2,18,2,4	298	149	0.00172244217917	0.0892043739107	0.733,1.0,0.846,0.625	0.692,0.39,0.556,0.429	0.284
1	"ENSMUSG00000031896"	"Ctrl"	chr8	-	106659455	106659691	106659455	106659537	106659611	106659691	1	0,0,3,0	0,1,2,1	1,8,4,0	0,1,1,0	222	149	1	1.0	NA,0.0,0.502,0.0	1.0,0.843,0.729,NA	-0.69
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519002	43519078	2	12,4,4,11	241,182,207,164	10,12,3,2	109,451,93,116	298	149	0.735656541307	1.0	0.024,0.011,0.01,0.032	0.044,0.013,0.016,0.009	-0.001
7	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120602528	120602721	120602528	120602582	120602669	120602721	7	10,3,3,13	102,68,79,60	3,23,5,10	76,244,55,49	235	149	0.963536877596	1.0	0.059,0.027,0.024,0.121	0.024,0.056,0.054,0.115	-0.005
8	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	57008022	57009890	57008022	57008088	57009762	57009890	8	5,3,2,3	3,1,0,4	2,8,1,7	3,15,0,3	298	149	0.465244576854	1.0	0.455,0.6,1.0,0.273	0.25,0.211,1.0,0.538	0.082
14	"ENSMUSG00000021670"	"Hmgcr"	chr13	-	96801269	96802405	96801269	96801354	96802317	96802405	14	0,0,1,0	20,12,18,16	0,0,0,0	8,34,13,3	298	149	1	1.0	0.0,0.0,0.027,0.0	0.0,0.0,0.0,0.0	0.007
15	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48400000	48402238	48400000	48401288	48402147	48402238	15	1,0,1,3	142,87,123,106	0,4,1,0	74,247,48,79	298	149	1	1.0	0.004,0.0,0.004,0.014	0.0,0.008,0.01,0.0	0.001
17	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127162421	127162883	127162421	127162520	127162741	127162883	17	1,0,0,0	5,1,0,0	0,0,0,0	1,2,0,0	298	149	1	1.0	0.091,0.0,NA,NA	0.0,0.0,NA,NA	0.045
18	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127163962	127164393	127163962	127164016	127164258	127164393	18	7,7,0,5	34,14,23,20	0,5,0,1	17,68,11,16	298	149	0.000539101025963	0.0530234034249	0.093,0.2,0.0,0.111	0.0,0.035,0.0,0.03	0.085
19	"ENSMUSG00000121485"	NA	chr13	-	12632143	12632388	12632143	12632152	12632251	12632388	19	5,4,10,6	1,2,0,3	4,17,2,2	0,3,0,0	247	149	0.0178286791129	0.320916224032	0.751,0.547,1.0,0.547	1.0,0.774,1.0,1.0	-0.232
