ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118395975	118396047	118396026	118396047	118394624	118394735	0	15,18,16,26	341,599,717,562	30,50,14,23	728,1870,439,447	199	149	0.853814445277	1.0	0.032,0.022,0.016,0.033	0.03,0.02,0.023,0.037	-0.002
1	"ENSMUSG00000051705"	"Senp8"	chr9	-	59647222	59647334	59647222	59647315	59657544	59657654	1	0,0,0,2	0,0,3,0	0,3,0,1	2,1,0,0	167	149	1	1.0	NA,NA,0.0,1.0	0.0,0.728,NA,1.0	-0.076
2	"ENSMUSG00000038534"	"Osbpl7"	chr11	+	96943311	96943437	96943352	96943437	96943050	96943202	2	1,5,11,0	0,0,1,0	9,17,7,6	0,2,0,0	189	149	1	1.0	1.0,1.0,0.897,NA	1.0,0.87,1.0,1.0	-0.002
5	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43514710	43516003	43514710	43514861	43518229	43518299	5	4,17,14,20	114,173,166,143	18,35,8,4	163,474,123,137	298	149	0.276234754591	1.0	0.017,0.047,0.04,0.065	0.052,0.036,0.031,0.014	0.009
6	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519226	43519297	6	132,144,118,44	0,0,0,0	120,489,119,109	0,2,0,0	298	149	1	1.0	1.0,1.0,1.0,1.0	1.0,0.992,1.0,1.0	0.002
7	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120603265	120603538	120603265	120603365	120604518	120604558	7	1,7,6,8	0,0,0,2	14,39,4,7	0,4,0,0	298	149	0.766068595692	1.0	1.0,1.0,1.0,0.667	1.0,0.83,1.0,1.0	-0.041
8	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120602528	120602721	120602528	120602582	120604518	120604564	8	16,24,36,31	7,24,26,28	23,126,27,28	25,64,20,17	287	149	0.519202689301	1.0	0.543,0.342,0.418,0.365	0.323,0.505,0.412,0.461	-0.008
9	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	57008022	57009890	57009762	57009890	57003717	57003789	9	56,91,80,57	0,3,5,4	108,328,71,103	1,8,3,0	298	149	0.13528882152	0.993165135015	1.0,0.938,0.889,0.877	0.982,0.953,0.922,1.0	-0.038
10	"ENSMUSG00000022838"	"Eaf2"	chr16	-	36620948	36621206	36620948	36621064	36628376	36628522	10	0,3,4,9	0,4,0,2	5,6,4,6	2,1,0,0	290	149	1	1.0	NA,0.278,1.0,0.698	0.562,0.755,1.0,1.0	-0.171
14	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144645799	144646074	144645954	144646074	144645220	144645364	14	10,9,7,17	143,256,217,137	19,47,9,9	206,520,119,171	298	149	0.0661848810103	0.712026803975	0.034,0.017,0.016,0.058	0.044,0.043,0.036,0.026	-0.006
15	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75561092	75561238	75561092	75561219	75561382	75561589	15	9,24,20,15	1,1,3,0	44,90,12,37	5,1,3,1	167	149	0.76897922538	1.0	0.889,0.955,0.856,1.0	0.887,0.988,0.781,0.971	0.018
16	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75561382	75561589	75561382	75561515	75562691	75562853	16	6,20,26,18	0,1,0,1	50,72,11,22	0,1,0,0	222	149	1	1.0	1.0,0.931,1.0,0.924	1.0,0.98,1.0,1.0	-0.031
17	"ENSMUSG00000048416"	"Mlf1"	chr3	+	67300172	67300308	67300224	67300308	67291883	67292031	17	10,9,22,13	34,87,86,123	22,46,12,23	97,295,84,74	200	149	0.402464226485	1.0	0.18,0.072,0.16,0.073	0.145,0.104,0.096,0.188	-0.012
18	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48400000	48402238	48400000	48401288	48404706	48404794	18	37,60,111,131	1,4,1,1	123,300,72,72	0,6,0,7	298	149	0.574578007793	1.0	0.949,0.882,0.982,0.985	1.0,0.962,1.0,0.837	-0.0
19	"ENSMUSG00000121485"	NA	chr13	-	12634654	12634783	12634654	12634779	12636246	12636396	19	12,27,34,34	0,1,7,0	31,84,23,22	2,4,1,1	152	149	0.596985775436	1.0	1.0,0.964,0.826,1.0	0.938,0.954,0.958,0.956	-0.004
21	"ENSMUSG00000079334"	"Naa80"	chr9	+	107460015	107460718	107460334	107460718	107456298	107458134	21	20,31,54,18	0,0,0,1	49,118,22,44	1,1,0,0	298	149	1	1.0	1.0,1.0,1.0,0.9	0.961,0.983,1.0,1.0	-0.011
22	"ENSMUSG00000059743"	"Fdps"	chr3	-	89001758	89001884	89001758	89001836	89002166	89002239	22	0,3,2,0	78,70,110,82	0,3,0,2	92,293,55,86	196	149	1	1.0	0.0,0.032,0.014,0.0	0.0,0.008,0.0,0.017	0.005
25	"ENSMUSG00000065999"	"Zfp985"	chr4	+	147661481	147661586	147661528	147661586	147647371	147647415	25	3,1,1,0	0,6,4,0	0,6,1,1	2,6,2,1	195	149	1	1.0	1.0,0.113,0.16,NA	0.0,0.433,0.276,0.433	0.139
26	"ENSMUSG00000030795"	"Fus"	chr7	+	127571009	127571154	127571012	127571154	127568888	127569043	26	254,457,577,413	120,210,274,220	582,1840,376,435	305,836,169,225	151	149	1	1.0	0.676,0.682,0.675,0.649	0.653,0.685,0.687,0.656	0.0
27	"ENSMUSG00000022617"	"Chkb"	chr15	-	89311526	89311630	89311526	89311602	89311763	89311872	27	149,238,221,215	22,26,41,47	241,794,170,185	35,116,16,24	176	149	0.178526328078	1.0	0.851,0.886,0.82,0.795	0.854,0.853,0.9,0.867	-0.03
28	"ENSMUSG00000022617"	"Chkb"	chr15	-	89312336	89312432	89312336	89312396	89312613	89312747	28	154,291,261,184	0,0,0,1	315,1138,201,203	0,2,0,2	184	149	1	1.0	1.0,1.0,1.0,0.993	1.0,0.998,1.0,0.988	0.002
29	"ENSMUSG00000022617"	"Chkb"	chr15	-	89312613	89312781	89312613	89312747	89312916	89313030	29	12,23,24,21	46,36,42,13	16,76,19,11	33,206,44,31	182	149	0.133031576875	0.983936280184	0.176,0.343,0.319,0.569	0.284,0.232,0.261,0.225	0.101
31	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119173531	119175634	119175535	119175634	119173238	119173318	31	231,280,315,228	0,1,0,3	283,1011,198,271	1,4,2,0	298	149	1	1.0	1.0,0.993,1.0,0.974	0.993,0.992,0.98,1.0	0.0
