ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118395975	118396047	118396248	118396317	118394624	118394735	118398031	118398107	0	14,18,4,8	366,345,350,269	9,6,6,11	237,200,285,456	220	217	0.39599390133	1.0	0.036,0.049,0.011,0.028	0.036,0.029,0.02,0.023	0.004
1	"ENSMUSG00000038708"	"Golga4"	chr9	+	118396026	118396047	118396248	118396317	118394343	118394735	118398031	118398107	1	166,146,139,111	366,345,350,269	135,78,141,197	237,200,285,456	169	217	0.306650054905	1.0	0.368,0.352,0.338,0.346	0.422,0.334,0.388,0.357	-0.024
2	"ENSMUSG00000038708"	"Golga4"	chr9	+	118401985	118402089	118406209	118406296	118398031	118398107	118410916	118411185	2	501,439,536,396	659,586,572,557	345,238,402,635	392,297,549,819	252	235	0.921298221885	1.0	0.415,0.411,0.466,0.399	0.451,0.428,0.406,0.42	-0.004
3	"ENSMUSG00000079362"	"Gm43302"	chr5	-	105436792	105436920	105438702	105438892	105428320	105428430	105441491	105441561	3	130,43,50,64	86,47,59,58	28,15,36,45	42,28,23,41	298	276	0.399488561679	1.0	0.583,0.459,0.44,0.505	0.382,0.332,0.592,0.504	0.044
4	"ENSMUSG00000021629"	"Slc30a5"	chr13	-	100962959	100963026	100965407	100965530	100961423	100961509	100969608	100969848	4	5,0,2,0	32,25,23,17	2,4,4,0	14,8,23,32	271	215	0.112850327742	0.767191047217	0.11,0.0,0.065,0.0	0.102,0.284,0.121,0.0	-0.083
5	"ENSMUSG00000060275"	"Nrg2"	chr18	-	36164935	36164994	36165388	36165465	36157358	36157461	36171283	36171404	5	9,6,5,5	3,3,1,2	3,2,8,10	0,0,4,2	225	207	0.290511663955	1.0	0.734,0.648,0.821,0.697	1.0,1.0,0.648,0.821	-0.142
6	"ENSMUSG00000018697"	"Aatf"	chr11	-	84400484	84400622	84401024	84401243	84363877	84363992	84402308	84402404	6	74,91,72,64	66,49,57,65	49,34,57,114	30,25,51,70	298	286	0.471472908157	1.0	0.518,0.641,0.548,0.486	0.611,0.566,0.518,0.61	-0.028
7	"ENSMUSG00000018697"	"Aatf"	chr11	-	84401024	84401243	84402308	84402404	84400484	84400622	84402966	84403155	7	71,55,53,40	67,67,65,56	47,23,35,71	34,26,47,76	244	298	0.493588645408	1.0	0.564,0.501,0.499,0.466	0.628,0.519,0.476,0.533	-0.031
8	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518643	43518719	43519002	43519078	43518401	43518464	43519226	43519297	8	398,300,317,267	93,48,34,31	203,138,238,439	32,15,23,26	224	224	0.000923222621422	0.0872374360119	0.811,0.862,0.903,0.896	0.864,0.902,0.912,0.944	-0.037
9	"ENSMUSG00000040283"	"Btnl9"	chr11	-	49064279	49064300	49065652	49065685	49064038	49064065	49066394	49066523	9	93,48,41,53	7,18,7,4	45,27,48,100	6,11,10,16	181	169	0.355308984642	1.0	0.925,0.713,0.845,0.925	0.875,0.696,0.818,0.854	0.041
10	"ENSMUSG00000040283"	"Btnl9"	chr11	-	49065652	49065685	49066394	49066523	49064279	49064300	49069541	49069823	10	202,231,128,167	45,48,48,42	129,108,138,352	31,24,39,77	277	181	0.628746467449	1.0	0.746,0.759,0.635,0.722	0.731,0.746,0.698,0.749	-0.016
11	"ENSMUSG00000040283"	"Btnl9"	chr11	-	49066394	49066523	49069541	49069823	49065652	49065685	49071367	49071715	11	225,219,154,170	238,242,156,207	145,93,148,336	144,96,166,419	298	277	0.867045992689	1.0	0.468,0.457,0.479,0.433	0.483,0.474,0.453,0.427	0.0
12	"ENSMUSG00000022838"	"Eaf2"	chr16	-	36630833	36630970	36645019	36645114	36628376	36628522	36648412	36648589	12	3,2,1,4	3,3,3,5	1,3,0,8	7,1,2,5	243	285	0.784565867261	1.0	0.54,0.439,0.281,0.484	0.144,0.779,0.0,0.652	0.042
13	"ENSMUSG00000078867"	"Gm14418"	chr2	-	177081614	177081651	177086489	177086544	177081219	177081346	177090016	177090098	13	7,6,8,7	3,0,2,0	6,1,4,2	0,1,0,0	203	185	0.196238691407	0.919599611418	0.68,1.0,0.785,1.0	1.0,0.477,1.0,1.0	-0.003
14	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75535746	75535929	75549286	75549465	75530548	75530880	75551432	75551584	14	40,39,35,31	75,50,53,58	57,19,37,48	52,30,48,80	298	298	0.241038885504	0.976443524642	0.348,0.438,0.398,0.348	0.523,0.388,0.435,0.375	-0.047
15	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75535746	75535929	75549373	75549465	75530628	75530880	75551432	75551478	15	32,22,23,15	75,50,53,58	23,12,24,33	52,30,48,80	240	298	0.534548419959	1.0	0.346,0.353,0.35,0.243	0.355,0.332,0.383,0.339	-0.029
16	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38189845	38189954	38194180	38194739	38182570	38183509	38198016	38198578	16	1856,1743,1553,1426	1647,1569,1409,1301	1429,990,1455,1739	1252,776,1236,1987	257	298	0.944641099621	1.0	0.566,0.563,0.561,0.56	0.57,0.597,0.577,0.504	0.001
17	"ENSMUSG00000022803"	"Popdc2"	chr16	+	38189845	38189954	38194180	38194598	38182606	38183509	38198016	38198578	17	1856,1743,1553,1426	271,204,156,174	1429,990,1455,1739	136,115,173,104	257	298	0.00739879457113	0.282257119602	0.888,0.908,0.92,0.905	0.924,0.909,0.907,0.951	-0.017
18	"ENSMUSG00000121485"	NA	chr13	-	12638757	12638980	12645583	12645633	12636246	12636396	12664805	12665282	18	0,0,0,1	70,60,46,57	0,0,0,0	50,28,38,57	198	298	1	1.0	0.0,0.0,0.0,0.026	0.0,0.0,0.0,0.0	0.006
19	"ENSMUSG00000036879"	"Phkb"	chr8	+	86648755	86648871	86662036	86662100	86628505	86628586	86667469	86667565	19	90,75,74,84	86,59,44,64	54,38,59,99	53,35,39,91	264	212	0.469681511424	1.0	0.457,0.505,0.575,0.513	0.45,0.466,0.549,0.466	0.03
20	"ENSMUSG00000036879"	"Phkb"	chr8	+	86648755	86648871	86667469	86667565	86628505	86628586	86668820	86669018	20	90,75,74,84	125,109,121,103	54,38,59,99	71,65,102,124	264	244	0.821436791348	1.0	0.4,0.389,0.361,0.43	0.413,0.351,0.348,0.425	0.011
21	"ENSMUSG00000036879"	"Phkb"	chr8	+	86662036	86662100	86668820	86669018	86648755	86648871	86672680	86672738	21	72,47,59,64	175,151,116,149	49,35,67,121	111,87,180,221	212	298	0.521001011225	1.0	0.366,0.304,0.417,0.376	0.383,0.361,0.343,0.435	-0.015
22	"ENSMUSG00000036879"	"Phkb"	chr8	+	86744020	86744125	86745097	86745180	86738198	86738292	86745664	86745755	22	0,0,1,1	176,125,138,152	0,0,0,0	126,79,124,235	253	231	1	1.0	0.0,0.0,0.007,0.006	0.0,0.0,0.0,0.0	0.003
23	"ENSMUSG00000038388"	"Pals2"	chr6	+	50122753	50122872	50135661	50135814	50087257	50087444	50139565	50139715	23	5,2,6,3	190,174,206,174	1,3,2,6	142,120,152,258	267	298	0.532955633971	1.0	0.029,0.013,0.031,0.019	0.008,0.027,0.014,0.025	0.005
24	"ENSMUSG00000038388"	"Pals2"	chr6	+	50122753	50122872	50135661	50135814	50087362	50087434	50139565	50139715	24	1,0,2,1	190,174,207,173	0,1,0,0	140,120,154,258	267	298	1	1.0	0.006,0.0,0.011,0.006	0.0,0.009,0.0,0.0	0.004
25	"ENSMUSG00000021277"	"Traf3"	chr12	+	111217563	111217638	111219097	111219190	111214999	111215080	111221656	111221797	25	7,9,6,1	25,12,22,15	9,3,8,9	28,9,11,20	223	241	0.349540215632	1.0	0.232,0.448,0.228,0.067	0.258,0.265,0.44,0.327	-0.079
26	"ENSMUSG00000024556"	"Me2"	chr18	-	73929384	73929460	73930899	73931049	73927851	73928013	73934799	73934933	26	45,52,30,42	19,38,27,34	31,26,32,48	18,15,22,43	298	224	0.95713296991	1.0	0.64,0.507,0.455,0.481	0.564,0.566,0.522,0.456	-0.006
27	"ENSMUSG00000056342"	"Usp34"	chr11	+	23283438	23283859	23293319	23293370	23270660	23270748	23293510	23293660	27	23,14,8,15	45,33,29,31	12,6,16,12	34,27,23,53	298	199	0.336860907178	1.0	0.254,0.221,0.156,0.244	0.191,0.129,0.317,0.131	0.027
28	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119173531	119173574	119175535	119175634	119173238	119173318	119176795	119176876	28	103,95,74,85	473,396,362,335	49,46,58,113	247,205,318,508	191	247	0.387863494626	1.0	0.22,0.237,0.209,0.247	0.204,0.225,0.191,0.223	0.017
29	"ENSMUSG00000036138"	"Acaa1a"	chr9	+	119177986	119178166	119178419	119178475	119177646	119177837	119178557	119178703	29	144,85,105,65	163,146,121,138	66,40,74,101	90,77,150,171	298	204	0.218998361927	0.950348740932	0.377,0.285,0.373,0.244	0.334,0.262,0.252,0.288	0.036
30	"ENSMUSG00000027665"	"Pik3ca"	chr3	+	32514010	32514181	32515628	32515746	32510241	32510320	32515845	32515997	30	138,106,134,110	133,104,124,124	106,52,116,196	91,62,103,181	298	266	0.606533000921	1.0	0.481,0.476,0.491,0.442	0.51,0.428,0.501,0.492	-0.01
31	"ENSMUSG00000020883"	"Fbxl20"	chr11	-	98000319	98000388	98001760	98001855	97992526	97992622	98004046	98004121	31	54,43,46,53	23,27,11,22	31,24,38,67	28,23,22,43	243	217	0.0117951708171	0.353394825164	0.677,0.587,0.789,0.683	0.497,0.482,0.607,0.582	0.142
32	"ENSMUSG00000071072"	"Ptges3"	chr10	+	127906002	127906101	127907936	127908026	127905084	127905154	127910090	127910153	32	384,292,289,299	288,277,237,267	244,172,263,439	168,112,209,421	247	238	0.412773190497	1.0	0.562,0.504,0.54,0.519	0.583,0.597,0.548,0.501	-0.026
33	"ENSMUSG00000071072"	"Ptges3"	chr10	+	127907936	127908026	127910090	127910153	127906002	127906101	127911206	127911231	33	189,152,201,204	201,175,149,176	139,108,153,264	140,89,146,274	238	211	0.813159171232	1.0	0.455,0.435,0.545,0.507	0.468,0.518,0.482,0.461	0.003
34	"ENSMUSG00000071072"	"Ptges3"	chr10	+	127910090	127910153	127911206	127911231	127907936	127908026	127911935	127913141	34	372,319,320,316	173,170,98,157	296,152,297,601	87,50,111,249	211	173	0.0665836460131	0.644026383957	0.638,0.606,0.728,0.623	0.736,0.714,0.687,0.664	-0.052
35	"ENSMUSG00000036955"	"Kifbp"	chr10	-	62406177	62406257	62410828	62410927	62405237	62405421	62413742	62414195	35	110,74,61,82	99,79,92,90	43,40,72,79	85,61,74,115	247	228	0.103463756603	0.750901877972	0.506,0.464,0.38,0.457	0.318,0.377,0.473,0.388	0.063
36	"ENSMUSG00000042079"	"Hnrnpf"	chr6	+	117894430	117894559	117896059	117896120	117883755	117883800	117900668	117902580	36	69,64,47,33	0,0,0,0	38,34,42,81	0,0,1,0	277	209	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.969,1.0	0.008
37	"ENSMUSG00000038914"	"Dido1"	chr2	-	180330616	180331448	180332314	180332426	180329268	180329590	180333656	180333841	37	3,6,1,5	180,148,148,123	3,1,5,1	141,84,145,232	260	298	0.246235806489	0.97952093488	0.019,0.044,0.008,0.045	0.024,0.013,0.038,0.005	0.009
38	"ENSMUSG00000002020"	"Ltbp2"	chr12	-	84833129	84833258	84834139	84834223	84832747	84832885	84834677	84834869	38	5,1,3,5	6,22,16,8	1,0,2,5	7,3,10,5	232	277	0.72792296239	1.0	0.499,0.051,0.183,0.427	0.146,0.0,0.193,0.544	0.069
39	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70485022	70485168	70493808	70493920	70483301	70483441	70504078	70504203	39	132,144,110,114	108,117,124,95	109,56,107,153	73,57,89,121	260	294	0.430972299243	1.0	0.58,0.582,0.501,0.576	0.628,0.526,0.576,0.588	-0.02
40	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70485022	70485168	70504078	70504203	70483301	70483441	70504757	70504955	40	134,119,100,114	116,120,133,108	77,69,108,131	88,58,98,128	273	294	0.647135923966	1.0	0.554,0.516,0.447,0.532	0.485,0.562,0.543,0.524	-0.016
41	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70493808	70493920	70504078	70504203	70483301	70483441	70504757	70504955	41	134,119,100,114	1,0,0,1	77,69,108,131	1,0,1,3	273	260	1	1.0	0.992,1.0,1.0,0.991	0.987,1.0,0.99,0.977	0.007
42	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70493808	70493920	70504757	70504955	70483301	70483441	70526629	70526726	42	52,31,28,28	1,0,0,0	26,20,27,27	0,0,0,0	298	260	1	1.0	0.978,1.0,1.0,1.0	1.0,1.0,1.0,1.0	-0.006
43	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70493808	70493920	70504078	70504203	70485022	70485168	70504757	70504955	43	136,122,103,118	83,107,97,80	78,70,108,134	94,42,66,159	273	260	0.485791515899	1.0	0.609,0.521,0.503,0.584	0.441,0.613,0.609,0.445	0.027
44	"ENSMUSG00000022092"	"Ppp3cc"	chr14	-	70493808	70493920	70504757	70504955	70485022	70485168	70526629	70526726	44	62,37,40,45	80,107,98,78	40,25,36,38	93,42,65,156	298	260	0.30614786355	1.0	0.403,0.232,0.263,0.335	0.273,0.342,0.326,0.175	0.029
45	"ENSMUSG00000066537"	"Vmn2r57"	chr7	-	41060278	41060402	41074401	41074525	41045368	41050087	41097856	41098120	45	6,3,0,2	0,0,1,0	0,4,1,6	0,0,0,1	272	272	1	1.0	1.0,1.0,0.0,1.0	NA,1.0,1.0,0.857	-0.202
46	"ENSMUSG00000026796"	"Niban2"	chr2	+	32795780	32795911	32799860	32799989	32766125	32766416	32801352	32801458	46	36,16,13,13	73,71,57,56	16,11,22,9	50,45,69,53	279	277	0.609941246185	1.0	0.329,0.183,0.185,0.187	0.241,0.195,0.24,0.144	0.016
47	"ENSMUSG00000000399"	"Ndufa9"	chr6	-	126804502	126804598	126809434	126809511	126801898	126801965	126811391	126811459	47	3377,2561,2738,2826	4753,3832,3788,3732	2016,1366,2499,3902	2839,1862,3322,5188	225	244	0.668640499997	1.0	0.435,0.42,0.439,0.451	0.435,0.443,0.449,0.449	-0.008
48	"ENSMUSG00000000399"	"Ndufa9"	chr6	-	126809434	126809511	126811391	126811459	126804502	126804598	126813181	126813284	48	2059,1791,1630,1657	2751,2176,2091,2153	1326,864,1608,2304	1631,1122,2041,3006	216	225	0.943023434205	1.0	0.438,0.462,0.448,0.445	0.459,0.445,0.451,0.444	-0.001
49	"ENSMUSG00000000399"	"Ndufa9"	chr6	-	126811391	126811459	126813181	126813284	126809434	126809511	126817460	126817602	49	4711,3619,3816,3611	2798,2210,2341,2024	2917,1983,3572,5290	1621,1230,2108,3534	251	216	0.767138553075	1.0	0.592,0.585,0.584,0.606	0.608,0.581,0.593,0.563	0.006
50	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22927468	22927601	22927869	22928009	22927334	22927383	22928734	22928903	50	1077,779,847,841	2120,1718,1910,2046	581,428,770,1254	1451,952,1592,3018	281	288	0.617056250855	1.0	0.342,0.317,0.312,0.296	0.291,0.315,0.331,0.299	0.008
51	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22927468	22927601	22928734	22928903	22927334	22927383	22928983	22929093	51	1023,744,806,796	2213,1807,1913,2048	554,407,725,1176	1352,908,1581,2788	281	298	0.693413221066	1.0	0.329,0.304,0.309,0.292	0.303,0.322,0.327,0.309	-0.007
52	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22927869	22928009	22928734	22928903	22927334	22927383	22928983	22929093	52	0,0,2,0	2213,1807,1913,2048	1,0,0,0	1352,908,1581,2788	288	298	1	1.0	0.0,0.0,0.001,0.0	0.001,0.0,0.0,0.0	0.0
53	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22927869	22928009	22928734	22928903	22927468	22927601	22928983	22929093	53	1800,1472,1555,1731	2267,1844,1957,2092	1156,697,1356,2410	1381,929,1626,2866	288	298	0.835855930459	1.0	0.451,0.452,0.451,0.461	0.464,0.437,0.463,0.465	-0.004
54	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22929329	22930013	22930252	22930342	22928983	22929093	22930566	22931159	54	1894,1622,1760,1938	1758,1399,1544,1644	1298,968,1559,2877	1101,833,1292,2238	298	238	0.422529935048	1.0	0.462,0.481,0.477,0.485	0.485,0.481,0.491,0.507	-0.015
55	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22929875	22930013	22930252	22930342	22929329	22929473	22930566	22930646	55	1614,1284,1421,1467	1761,1399,1543,1644	1114,732,1127,2267	1102,832,1292,2242	286	238	0.659001809628	1.0	0.433,0.433,0.434,0.426	0.457,0.423,0.421,0.457	-0.008
56	"ENSMUSG00000022884"	"Eif4a2"	chr16	+	22930252	22930342	22930566	22930646	22929875	22930013	22931100	22931207	56	1767,1307,1377,1501	166,154,168,202	1074,662,1254,2146	128,87,123,223	238	228	0.615833919719	1.0	0.911,0.89,0.887,0.877	0.889,0.879,0.907,0.902	-0.003
57	"ENSMUSG00000041890"	"Git2"	chr5	-	114877093	114877342	114881836	114881941	114871921	114872004	114883489	114883632	57	49,56,48,51	72,61,50,70	42,44,37,88	43,18,53,67	253	298	0.0856644653236	0.708005717139	0.445,0.52,0.531,0.462	0.535,0.742,0.451,0.607	-0.094
59	"ENSMUSG00000041890"	"Git2"	chr5	-	114905156	114905269	114907677	114907811	114903735	114904618	114911374	114911528	59	47,16,17,17	99,82,66,79	9,17,21,14	80,58,63,111	282	261	0.0947765305289	0.733528865333	0.305,0.153,0.193,0.166	0.094,0.213,0.236,0.105	0.042
60	"ENSMUSG00000024789"	"Jak2"	chr19	+	29229836	29229919	29239582	29239833	29229227	29229518	29248750	29248874	60	11,5,4,3	87,76,78,78	1,3,3,1	58,48,68,103	231	298	0.00603214876041	0.252037127119	0.14,0.078,0.062,0.047	0.022,0.075,0.054,0.012	0.041
