ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46576373	46578640	46576373	46576449	46578579	46578640	0	1,5,15,5	2,5,6,2	9,23,5,6	2,18,2,4	298	149	0.752727355884	1.0	0.2,0.333,0.556,0.556	0.692,0.39,0.556,0.429	-0.105
1	"ENSMUSG00000031896"	"Ctrl"	chr8	-	106659455	106659691	106659455	106659537	106659611	106659691	1	0,2,1,2	0,0,0,0	1,8,4,0	0,1,1,0	222	149	1	1.0	NA,1.0,1.0,1.0	1.0,0.843,0.729,NA	0.143
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519002	43519078	2	0,3,0,3	96,107,99,81	10,12,3,2	109,451,93,116	298	149	0.105714002695	0.798666522978	0.0,0.014,0.0,0.018	0.044,0.013,0.016,0.009	-0.012
7	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120602528	120602721	120602528	120602582	120602669	120602721	7	4,4,12,4	33,51,68,53	3,23,5,10	76,244,55,49	235	149	0.733223372759	1.0	0.071,0.047,0.101,0.046	0.024,0.056,0.054,0.115	0.004
8	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	57008022	57009890	57008022	57008088	57009762	57009890	8	5,3,5,6	1,1,5,1	2,8,1,7	3,15,0,3	298	149	0.20217134803	1.0	0.714,0.6,0.333,0.75	0.25,0.211,1.0,0.538	0.1
14	"ENSMUSG00000021670"	"Hmgcr"	chr13	-	96801269	96802405	96801269	96801354	96802317	96802405	14	0,0,0,1	4,8,8,18	0,0,0,0	8,34,13,3	298	149	1	1.0	0.0,0.0,0.0,0.027	0.0,0.0,0.0,0.0	0.007
15	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48400000	48402238	48400000	48401288	48402147	48402238	15	0,2,2,7	41,63,87,111	0,4,1,0	74,247,48,79	298	149	0.760847716029	1.0	0.0,0.016,0.011,0.031	0.0,0.008,0.01,0.0	0.01
18	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127163962	127164393	127163962	127164016	127164258	127164393	18	0,2,2,2	6,27,27,19	0,5,0,1	17,68,11,16	298	149	0.714820424595	1.0	0.0,0.036,0.036,0.05	0.0,0.035,0.0,0.03	0.014
19	"ENSMUSG00000121485"	NA	chr13	-	12632143	12632388	12632143	12632152	12632251	12632388	19	3,4,2,12	0,1,0,0	4,17,2,2	0,3,0,0	247	149	1	1.0	1.0,0.707,1.0,1.0	1.0,0.774,1.0,1.0	-0.017
20	"ENSMUSG00000121485"	NA	chr13	-	12636246	12636396	12636246	12636297	12636378	12636396	20	27,54,92,79	0,0,0,0	67,158,66,57	0,8,0,1	229	149	0.125966035729	0.86700604729	1.0,1.0,1.0,1.0	1.0,0.928,1.0,0.974	0.024
26	"ENSMUSG00000031985"	"Gnpat"	chr8	+	125613421	125613685	125613421	125613518	125613591	125613685	26	51,88,50,70	443,720,804,755	89,267,42,72	804,2441,517,576	221	149	0.275433140556	1.0	0.072,0.076,0.04,0.059	0.069,0.069,0.052,0.078	-0.005
