ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000038708"	"Golga4"	chr9	+	118395975	118396047	118396026	118396047	118394624	118394735	0	31,36,18,21	963,917,946,726	30,50,14,23	728,1870,439,447	199	149	0.351436768626	1.0	0.024,0.029,0.014,0.021	0.03,0.02,0.023,0.037	-0.006
1	"ENSMUSG00000051705"	"Senp8"	chr9	-	59647222	59647334	59647222	59647315	59657544	59657654	1	1,0,1,0	0,0,0,2	0,3,0,1	2,1,0,0	167	149	1	1.0	1.0,NA,1.0,0.0	0.0,0.728,NA,1.0	0.091
2	"ENSMUSG00000038534"	"Osbpl7"	chr11	+	96943311	96943437	96943352	96943437	96943050	96943202	2	14,10,16,7	0,0,0,0	9,17,7,6	0,2,0,0	189	149	1	1.0	1.0,1.0,1.0,1.0	1.0,0.87,1.0,1.0	0.032
3	"ENSMUSG00000041064"	"Pif1"	chr9	+	65498968	65499141	65499001	65499141	65497229	65497336	3	0,2,0,0	1,0,0,2	0,0,0,0	1,0,0,0	181	149	1	1.0	0.0,1.0,NA,0.0	0.0,NA,NA,NA	0.333
5	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43514710	43516003	43514710	43514861	43518229	43518299	5	46,34,47,20	338,238,262,218	18,35,8,4	163,474,123,137	298	149	6.97284077225e-05	0.0181280660378	0.064,0.067,0.082,0.044	0.052,0.036,0.031,0.014	0.031
6	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519226	43519297	6	271,187,200,180	0,0,0,0	120,489,119,109	0,2,0,0	298	149	1	1.0	1.0,1.0,1.0,1.0	1.0,0.992,1.0,1.0	0.002
7	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120603265	120603538	120603265	120603365	120604518	120604558	7	7,14,13,7	0,0,0,0	14,39,4,7	0,4,0,0	298	149	0.76923974174	1.0	1.0,1.0,1.0,1.0	1.0,0.83,1.0,1.0	0.042
8	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120602528	120602721	120602528	120602582	120604518	120604564	8	52,33,31,31	35,19,34,29	23,126,27,28	25,64,20,17	287	149	0.421245328479	1.0	0.435,0.474,0.321,0.357	0.323,0.505,0.412,0.461	-0.029
9	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	57008022	57009890	57009762	57009890	57003717	57003789	9	152,164,116,125	5,5,3,2	108,328,71,103	1,8,3,0	298	149	0.380969356835	1.0	0.938,0.943,0.951,0.969	0.982,0.953,0.922,1.0	-0.014
10	"ENSMUSG00000022838"	"Eaf2"	chr16	-	36620948	36621206	36620948	36621064	36628376	36628522	10	4,4,3,0	2,0,2,3	5,6,4,6	2,1,0,0	290	149	0.000367933756389	0.0465115016954	0.507,1.0,0.435,0.0	0.562,0.755,1.0,1.0	-0.344
14	"ENSMUSG00000066026"	"Dhrs3"	chr4	+	144645799	144646074	144645954	144646074	144645220	144645364	14	26,20,9,9	313,221,227,236	19,47,9,9	206,520,119,171	298	149	0.182481499562	1.0	0.04,0.043,0.019,0.019	0.044,0.043,0.036,0.026	-0.007
15	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75561092	75561238	75561092	75561219	75561382	75561589	15	33,48,38,41	3,5,3,0	44,90,12,37	5,1,3,1	167	149	0.679066461819	1.0	0.908,0.895,0.919,1.0	0.887,0.988,0.781,0.971	0.024
16	"ENSMUSG00000020196"	"Cabin1"	chr10	-	75561382	75561589	75561382	75561515	75562691	75562853	16	47,29,46,37	6,0,1,0	50,72,11,22	0,1,0,0	222	149	0.126782790681	1.0	0.84,1.0,0.969,1.0	1.0,0.98,1.0,1.0	-0.043
17	"ENSMUSG00000048416"	"Mlf1"	chr3	+	67300172	67300308	67300224	67300308	67291883	67292031	17	8,14,19,6	155,86,104,72	22,46,12,23	97,295,84,74	200	149	0.00580020119406	0.216907523964	0.037,0.108,0.12,0.058	0.145,0.104,0.096,0.188	-0.052
18	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48400000	48402238	48400000	48401288	48404706	48404794	18	140,101,123,134	0,6,1,2	123,300,72,72	0,6,0,7	298	149	0.563024394108	1.0	1.0,0.894,0.984,0.971	1.0,0.962,1.0,0.837	0.013
19	"ENSMUSG00000121485"	NA	chr13	-	12634654	12634783	12634654	12634779	12636246	12636396	19	39,42,58,39	2,2,2,0	31,84,23,22	2,4,1,1	152	149	0.377294265704	1.0	0.95,0.954,0.966,1.0	0.938,0.954,0.958,0.956	0.016
