ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"ENSMUSG00000025036"	"Sfxn2"	chr19	+	46576373	46578640	46576373	46576449	46578579	46578640	0	6,5,9,11	4,6,4,6	9,23,5,6	2,18,2,4	298	149	0.671068349338	1.0	0.429,0.294,0.529,0.478	0.692,0.39,0.556,0.429	-0.084
1	"ENSMUSG00000031896"	"Ctrl"	chr8	-	106659455	106659691	106659455	106659537	106659611	106659691	1	1,0,0,0	0,0,2,0	1,8,4,0	0,1,1,0	222	149	1	1.0	1.0,NA,0.0,NA	1.0,0.843,0.729,NA	-0.357
2	"ENSMUSG00000028464"	"Tpm2"	chr4	-	43518401	43519078	43518401	43518464	43519002	43519078	2	2,2,2,8	137,88,147,285	10,12,3,2	109,451,93,116	298	149	0.130235758656	0.851028320483	0.007,0.011,0.007,0.014	0.044,0.013,0.016,0.009	-0.011
7	"ENSMUSG00000025144"	"Cenpx"	chr11	-	120602528	120602721	120602528	120602582	120602669	120602721	7	4,3,14,6	63,39,65,103	3,23,5,10	76,244,55,49	235	149	0.973856624621	1.0	0.039,0.047,0.12,0.036	0.024,0.056,0.054,0.115	-0.002
8	"ENSMUSG00000002372"	"Ranbp3"	chr17	+	57008022	57009890	57008022	57008088	57009762	57009890	8	8,1,6,4	8,0,3,5	2,8,1,7	3,15,0,3	298	149	0.768287436047	1.0	0.333,1.0,0.5,0.286	0.25,0.211,1.0,0.538	0.03
15	"ENSMUSG00000042396"	"Rbm7"	chr9	-	48400000	48402238	48400000	48401288	48402147	48402238	15	0,0,4,3	90,50,75,159	0,4,1,0	74,247,48,79	298	149	1	1.0	0.0,0.0,0.026,0.009	0.0,0.008,0.01,0.0	0.004
18	"ENSMUSG00000040345"	"Arhgap9"	chr10	+	127163962	127164393	127163962	127164016	127164258	127164393	18	0,1,0,0	8,7,24,16	0,5,0,1	17,68,11,16	298	149	0.483390247093	1.0	0.0,0.067,0.0,0.0	0.0,0.035,0.0,0.03	0.001
19	"ENSMUSG00000121485"	NA	chr13	-	12632143	12632388	12632143	12632152	12632251	12632388	19	1,2,4,5	0,0,0,1	4,17,2,2	0,3,0,0	247	149	1	1.0	1.0,1.0,1.0,0.751	1.0,0.774,1.0,1.0	-0.006
20	"ENSMUSG00000121485"	NA	chr13	-	12636246	12636396	12636246	12636297	12636378	12636396	20	67,39,51,98	0,2,0,0	67,158,66,57	0,8,0,1	229	149	0.1068328094	0.753388534636	1.0,0.927,1.0,1.0	1.0,0.928,1.0,0.974	0.006
26	"ENSMUSG00000031985"	"Gnpat"	chr8	+	125613421	125613685	125613421	125613518	125613591	125613685	26	103,39,88,156	860,531,911,1517	89,267,42,72	804,2441,517,576	221	149	0.490637597808	1.0	0.075,0.047,0.061,0.065	0.069,0.069,0.052,0.078	-0.005
